Item,PrimaryVendor,ProductURL,Notes
"Raspberry Pi 5 Model B (8GB)","Raspberry Pi (official)","https://www.raspberrypi.com/products/raspberry-pi-5/","Official product/info page — buy from distributors listed on site"
"microSD: Samsung PRO Endurance 64GB","Amazon","https://www.amazon.com/s?k=Samsung+PRO+Endurance+64GB","Search results (models/packaging vary by seller)"
"Behringer UMC404HD (USB multichannel interface)","Thomann","https://www.thomann.de/gb/behringer_umc404hd.htm","Retail product page — also available on Sweetwater/Amazon"
"AudioInjector Octo HAT","AudioInjector","https://audioinjector.net/product/audioinjector-octo/","Manufacturer product page — verify Pi5 compatibility before purchase"
"RCA panel mount jacks (chassis)","Digi-Key","https://www.digikey.com/en/products/result?keywords=RCA+chassis+jack","Search multiple chassis-mount RCA jacks by footprint and gender"
"Shielded RCA cable (3-pair)","Monoprice","https://www.monoprice.com/search/index.php?csearch=1&search=shielded+RCA+cable","Monoprice has various shielded 3-pair options"
"TRS to RCA adapters","Amazon","https://www.amazon.com/s?k=TRS+to+RCA+adapter","Multiple vendors and pack sizes available"
"4-channel car amplifier (TDA7850 style)","Amazon","https://www.amazon.com/s?k=TDA7850+4+channel+amplifier","Search results — many small amp boards exist; choose based on RMS and heat requirements"
"Speaker screw terminal block (8-pos)","Mouser","https://www.mouser.com/search/keyword?speaker%20terminal%20block","Search by pitch and orientation"
"12V -> 5V buck converter (10A)","Amazon","https://www.amazon.com/s?k=12V+to+5V+10A+buck+converter","Automotive-rated modules vary; pick one with ignition sensing if possible"
"Car power controller / auto-shutoff module","Amazon","https://www.amazon.com/s?k=car+power+controller+auto+shutdown+Raspberry+Pi","Search results — select based on shutoff profile and current rating"
"Inline fuse holder + 10A fuse","Amazon","https://www.amazon.com/s?k=inline+fuse+holder+10A","Simple inline holders for automotive wiring"
"TVS transient suppressor (SMBJ series)","Digi-Key","https://www.digikey.com/en/products/result?keywords=SMBJ+TVS","Pick appropriate standoff voltage for 12V system (e.g., SMBJ33A)")
"Rotary encoder EC11 (with push)","Digi-Key","https://www.digikey.com/en/products/result?keywords=EC11+rotary+encoder","Various detent styles and shaft lengths available"
"12mm panel momentary pushbutton","Mouser","https://www.mouser.com/search/keyword/12mm%20momentary%20switch","Panel mount tactile styles"
"Molex / K.K. connector housings","Digi-Key","https://www.digikey.com/en/products/result?keywords=Molex+KK+housing","Housings/pins/headers — pick matching pitch (2.54mm common)"
"Double-DIN mounting kit & bezel","Amazon","https://www.amazon.com/s?k=double+DIN+mounting+kit","Car-specific kits vary by vehicle — choose universal pocket or car-specific kit"
"Shielded speaker wire / speaker cable (14 AWG)","Amazon","https://www.amazon.com/s?k=14+AWG+speaker+wire","Bulk spool for speaker runs"
"Ground loop isolator (RCA)","Amazon","https://www.amazon.com/s?k=ground+loop+isolator+RCA","Useful if you encounter hum on preouts"
"Raspberry Pi 5 heatsink + fan","Adafruit","https://www.adafruit.com/search?q=Raspberry+Pi+5+heatsink","Adafruit and ThePiHut stock Pi cooling kits — pick one rated for Pi5"
