Item,Amazon,Digi-Key,Mouser,Adafruit,ThePiHut,Thomann,Sweetwater,Monoprice
"Raspberry Pi 5 Model B (4GB/8GB)","https://www.amazon.com/s?k=Raspberry+Pi+5+Model+B","https://www.digikey.com/en/products/result?keywords=Raspberry+Pi+5+Model+B","https://www.mouser.com/search/keyword/?q=Raspberry+Pi+5+Model+B","https://www.adafruit.com/search?q=Raspberry+Pi+5+Model+B","https://thepihut.com/search?query=Raspberry+Pi+5+Model+B","","",""
"microSD (Samsung PRO Endurance 64GB)","https://www.amazon.com/s?k=Samsung+PRO+Endurance+64GB","","","","","","",""
"Behringer UMC404HD (USB 4-out) - interface","https://www.amazon.com/s?k=Behringer+UMC404HD","","","","","https://www.thomann.de/gb/search_dir.html?sw=Behringer+UMC404HD","https://www.sweetwater.com/c?search=Behringer+UMC404HD",""
"AudioInjector Octo HAT","","https://www.digikey.com/en/products/result?keywords=AudioInjector+Octo","https://www.mouser.com/search/keyword/?q=AudioInjector+Octo","","https://thepihut.com/search?query=AudioInjector+Octo","","","https://audioinjector.net"
"RCA panel mount jacks (chassis)","https://www.amazon.com/s?k=panel+mount+RCA+jack","https://www.digikey.com/en/products/result?keywords=RCA+chassis+jack","https://www.mouser.com/search/keyword/?q=RCA+chassis+jack","","","","",""
"Shielded RCA cables (3-pair)","https://www.amazon.com/s?k=shielded+RCA+cable+3+pair","","","","","","","https://www.monoprice.com/search/index.php?csearch=1&search=shielded+RCA+cable"
"TRS to RCA adapters","https://www.amazon.com/s?k=TRS+to+RCA+adapter","","","","","","",""
"4-channel car amplifier (TDA7850 style)","https://www.amazon.com/s?k=TDA7850+4+channel+amplifier","","","","","","",""
"Speaker screw terminal block (8-pos)","","https://www.digikey.com/en/products/result?keywords=speaker+terminal+block","https://www.mouser.com/search/keyword/?q=speaker+terminal+block","","","","",""
"Automotive DC->5V buck converter (10A)","https://www.amazon.com/s?k=12V+to+5V+10A+buck+converter","","","","","","",""
"Car power controller / auto shutoff module","https://www.amazon.com/s?k=car+power+controller+auto+power+off+Raspberry+Pi","","","","","","",""
"Inline fuse holder + 10A fuse","https://www.amazon.com/s?k=inline+fuse+holder+10A","","","","","","",""
"TVS transient suppressor (SMBJ series)","","https://www.digikey.com/en/products/result?keywords=SMBJ+TVS","https://www.mouser.com/search/keyword/?q=SMBJ+TVS","","","","",""
"Rotary encoder (EC11) with push","https://www.amazon.com/s?k=EC11+rotary+encoder","https://www.digikey.com/en/products/result?keywords=EC11+rotary+encoder","https://www.mouser.com/search/keyword/?q=rotary+encoder+EC11","https://www.adafruit.com/search?q=rotary+encoder","","","",""
"12mm panel momentary switches","https://www.amazon.com/s?k=12mm+panel+momentary+switch","https://www.digikey.com/en/products/result?keywords=12mm+panel+momentary+switch","https://www.mouser.com/search/keyword/?q=12mm+panel+momentary+switch","","","","",""
"Molex / K.K. connector housings","","https://www.digikey.com/en/products/result?keywords=Molex+KK+housing","https://www.mouser.com/search/keyword/?q=Molex+KK+housing","","","","",""
"Double-DIN mounting kit & bezel","https://www.amazon.com/s?k=double+DIN+mounting+kit","","","","","","",""
"Speaker wire 14 AWG","https://www.amazon.com/s?k=14+AWG+speaker+wire","","","","","","",""
"Power wire 14 AWG","https://www.amazon.com/s?k=14+AWG+power+wire","","","","","","",""
"Ground loop isolator (RCA)","https://www.amazon.com/s?k=ground+loop+isolator+RCA","","","","","","",""
"Heatsink / fan for Raspberry Pi 5","https://www.amazon.com/s?k=Raspberry+Pi+5+heatsink+fan","","","https://www.adafruit.com/search?q=Raspberry+Pi+heatsink","https://thepihut.com/search?query=Raspberry+Pi+heatsink","","",""
